id;code;lang;text
1;audience.all;DE;alle
2;audience.all;EN;all
3;audience.all;ES;todos
4;audience.all;FR;tout
5;fc.cardio;DE;Cardio
6;fc.cardio;EN;Cardio
7;fc.cardio;ES;Cardio
8;fc.cardio;FR;Cardio
9;fc.cardio.all;DE;Schnell bewegen, besser fühlen! Dieses kurze Cardio-Workout hilft beim Abnehmen und Fettverbrennen und stärkt gleichzeitig den ganzen Körper.
10;fc.cardio.all;EN;Move Fast, Feel Better! This is a short cardio workout for weight loss and fat burn, it is also designed to help build strength across the whole body.
11;fc.cardio.all;ES;¡Muévete rápido, siéntete mejor! Este es un entrenamiento cardiovascular corto para perder peso y quemar grasa. También está diseñado para ayudar a desarrollar fuerza en todo el cuerpo.
12;fc.cardio.all;FR;Bougez vite, sentez-vous mieux ! Un entraînement cardio court pour perdre du poids et brûler des graisses. Il est également conçu pour renforcer l'ensemble du corps.
13;fc.core.body;DE;Die Körpermitte
14;fc.core.body;EN;Core Body
15;fc.core.body;ES;Abdominales
16;fc.core.body;FR;Ceinture Abdominale
17;fc.core.body.all;DE;Stärkere Rumpfmuskulatur in wenigen Minuten! Dieses Workout stärkt deine Körpermitte, verbessert deine Rumpfstabilität und aktiviert deine Taille – ganz ohne Geräte. Perfekt als schnelles Finish.
18;fc.core.body.all;EN;Stronger Core in Minutes! This is a workout designed to strengthen your midsection, improve core stability, and fire up your waist with no equipment, perfect as a quick finisher.
19;fc.core.body.all;ES;¡Abdominales más fuertes en minutos! Este entrenamiento está diseñado para fortalecer tu zona media, mejorar la estabilidad del abdomen y activar tu cintura sin necesidad de equipo. Perfecto como remate rápido.
20;fc.core.body.all;FR;Des abdominaux plus forts en quelques minutes ! Un entraînement conçu pour renforcer votre sangle abdominale, améliorer la stabilité de votre tronc et tonifier votre taille sans matériel. Idéal pour terminer votre séance rapidement.
21;fc.desk.detox;DE;Desk Detox
22;fc.desk.detox;EN;Desk Detox
23;fc.desk.detox;ES;Desk Detox
24;fc.desk.detox;FR;Desk Detox
25;fc.desk.detox.all;DE;Sitzen Sie den ganzen Tag am Schreibtisch? Diese kurze Detox-Routine für den Schreibtisch wurde entwickelt, um Verspannungen zu lösen, die Haltung zu verbessern und die Beweglichkeit wiederherzustellen. Ideal zur Linderung von Rückenschmerzen, Nackensteife und Hüftverspannungen, die durch langes Sitzen verursacht werden.
26;fc.desk.detox.all;EN;Sitting all day at your desk? This quick desk detox routine is designed to relieve tension, improve posture, and restore mobility. Perfect for reducing back pain, neck stiffness, and tight hips caused by long hours of sitting.
27;fc.desk.detox.all;ES;¿Pasas todo el día sentado en tu escritorio? Esta rápida rutina de desintoxicación para el escritorio está diseñada para aliviar la tensión, mejorar la postura y recuperar la movilidad. Ideal para reducir el dolor de espalda, la rigidez del cuello y la tensión en las caderas causadas por pasar largas horas sentado.
28;fc.desk.detox.all;FR;Vous passez vos journées assis à votre bureau ? Cette routine express de détoxification du bureau est conçue pour soulager les tensions, améliorer la posture et retrouver une meilleure mobilité. Idéale pour atténuer les douleurs dorsales, les raideurs de la nuque et les tensions des hanches dues à une position assise prolongée.
29;fc.full.body;DE;Ganzkörpertraining
30;fc.full.body;EN;Full Body
31;fc.full.body;ES;Cuerpo Completo
32;fc.full.body;FR;Full Body
33;fc.full.body.all;DE;Vom Sitzen zum Starken! Dieses kurze Workout stärkt Muskeln, Kraft und formt den ganzen Körper.
34;fc.full.body.all;EN;From Sitting to Strong! This is a short workout for building muscle, strength & shape across the entire body.
35;fc.full.body.all;ES;¡De sentado a fuerte! Este es un entrenamiento corto para desarrollar músculo, fuerza y ​​tonificar todo el cuerpo.
36;fc.full.body.all;FR;De la position assise à la force ! Un entraînement court pour développer les muscles, la force et sculpter l'ensemble du corps.
37;fc.lower.body;DE;Unterkörper
38;fc.lower.body;EN;Lower Body
39;fc.lower.body;ES;Tren Inferior
40;fc.lower.body;FR;Bas du Corps
